CMP,Roundist,Sales,Market Size,Pct,Acc_sales,Acc_Pct,Acc_MSize,MShare,Acc_MShare
Centro 11,17,391239.5,2207039.073851389,0.0022562369915205146,26959941.99999999,0.1554751461180365,827962465.5558484,0.17726895034860815,0.03256179249852899
Centro 11,18,49249.2,455195.4175998259,0.0002840149495201587,27009191.199999988,0.15575916106755666,828417660.9734482,0.10819353204318996,0.032603350305523804
Centro 11,19,209170.30000000002,2679587.0007923334,0.0012062630904789613,27218361.49999999,0.15696542415803563,831097247.9742405,0.0780606488754237,0.03274991171772429
Centro 11,20,430367.2,4880661.476220381,0.0024818823165276196,27648728.699999988,0.15944730647456323,835977909.4504609,0.08817804760621903,0.03307351592361475
Centro 12,0,673152.0,2267790.383034768,0.003881996688258771,29354083.899999995,0.1692819103065431,1242805302.9497313,0.2968316670869663,0.02361921358907116
Centro 12,1,1113012.6,4262970.34673996,0.006418626442750352,30467096.499999996,0.17570053674929345,1247068273.2964714,0.26108851562881713,0.024430977158503103
Centro 12,2,2940648.4,14058277.346643634,0.016958409616451342,33407744.899999995,0.1926589463657448,1261126550.643115,0.209175585848153,0.02649039851152418
Centro 12,3,1239052.0,5452877.187247215,0.007145482388198218,34646796.89999999,0.19980442875394297,1266579427.8303623,0.227229031106331,0.02735461838295416
Centro 12,4,358945.0,1516063.2749502552,0.0020699980112471547,35005741.89999999,0.20187442676519013,1268095491.1053126,0.236761226217143,0.027604973084075765
Centro 12,5,42093.6,578473.052821214,0.00024274935794128133,35047835.49999999,0.20211717612313143,1268673964.1581337,0.07276674305693143,0.027625565346300004
Centro 12,6,382076.19999999995,1497883.3372695814,0.00220339320549073,35429911.699999996,0.20432056932862216,1270171847.4954033,0.2550774085627176,0.027893793875106505
Centro 12,7,263176.8,1540498.6113694534,0.0015177128880647177,35693088.49999999,0.20583828221668687,1271712346.1067727,0.17083871290610533,0.028066951311175845
Centro 12,8,27083.8,111508.4393862792,0.00015618942215942744,35720172.29999999,0.2059944716388463,1271823854.546159,0.24288565196557296,0.028085785757451822
Centro 12,9,143968.4,1038454.19838751,0.0008302506001822977,35864140.69999999,0.20682472223902856,1272862308.7445467,0.1386372169553083,0.028175978229234875
Centro 12,10,258514.40000000002,1219764.7526210668,0.0014908253183043404,36122655.09999999,0.20831554755733292,1274082073.4971678,0.21193791626171898,0.028351905934009897
Centro 12,11,288615.4,1920181.750054098,0.0016644146150950761,36411270.499999985,0.20997996217242798,1276002255.247222,0.1503062926162426,0.028535428013758017
Centro 12,13,404797.6,1477557.0619880653,0.0023344251262940596,36816068.09999999,0.21231438729872204,1277479812.30921,0.2739641063035098,0.028819295416849036
Centro 12,15,109529.4,322869.2140429215,0.0006316445142656789,36925597.499999985,0.2129460318129877,1277802681.523253,0.33923767035106484,0.028897730482128455
Centro 12,16,860240.2,6064063.429055467,0.004960914633703922,37785837.69999999,0.21790694644669165,1283866744.9523084,0.14185870745979154,0.029431276920724052
Centro 12,17,94440.20000000001,394638.0965481866,0.000544626687046159,37880277.89999999,0.21845157313373784,1284261383.0488565,0.23930837095061994,0.029495769630689683
Centro 12,18,416241.0,2269770.751235546,0.0024004180088858375,38296518.89999999,0.22085199114262366,1286531153.800092,0.18338459942415766,0.029767268975089824
Centro 12,19,323079.8,3240116.5698137786,0.0018631671801365903,38619598.69999999,0.22271515832276023,1289771270.3699057,0.09971240016792624,0.029942982594831646
Centro 12,20,29443.8,189469.74928941848,0.00016979929360642709,38649042.499999985,0.22288495761636665,1289960740.1191952,0.15540106064648906,0.029961409908047843
Centro 13,0,1212787.7,4343597.80266009,0.0069940189362298144,40428643.199999966,0.2331477274273795,1520752849.793435,0.2792127068618713,0.02658462432307223
Centro 13,1,797326.8,3899221.190912004,0.004598099681884573,41225969.99999996,0.23774582710926404,1524652070.984347,0.20448360350993838,0.02703959203845348
Centro 13,2,4189679.3,19525601.162233517,0.024161439269981114,45415649.29999996,0.26190726637924516,1544177672.1465807,0.21457363925386796,0.029410896245421744
Centro 13,3,1454973.7999999998,5553895.652583856,0.008390680668115491,46870623.09999996,0.2702979470473606,1549731567.7991645,0.26197355712347564,0.03024434945631442
Centro 13,4,60267.5,158623.66068033272,0.0003475563251830723,46930890.59999996,0.27064550337254367,1549890191.4598448,0.37994016618652143,0.030280139108303957
Centro 13,5,1264972.3,4386734.369696119,0.007294962028396382,48195862.899999954,0.27794046540094003,1554276925.829541,0.2883630950482256,0.031008543007403327
