CMP,Roundist,Sales,Market Size,Pct,Acc_sales,Acc_Pct,Acc_MSize,MShare,Acc_MShare
Centro 10,9,482805.92,12423231.057226755,0.0030079161902173074,15999099.879999997,0.09967556230038722,809809025.5226982,0.03886315224887856,0.019756633200862687
Centro 10,10,41809.43,5105345.526471608,0.00026047580651197735,16040909.309999997,0.0999360381068992,814914371.0491698,0.008189343852088932,0.019684165453295377
Centro 10,11,498664.6499999999,11988824.066305485,0.0031067172378997482,16539573.959999997,0.10304275534479895,826903195.1154753,0.041594125265504045,0.020001826160183454
Centro 10,12,556360.65,7026043.266931305,0.0034661675373301656,17095934.609999996,0.10650892288212911,833929238.3824066,0.07918548589339902,0.02050046193746775
Centro 10,13,79293.94,1784630.5596700017,0.0004940070451334147,17175228.549999997,0.10700292992726254,835713868.9420766,0.04443157132457843,0.02055156577901714
Centro 10,15,912.15,173004.9559022272,5.682761207457268e-06,17176140.699999996,0.10700861268846998,835886873.8979788,0.005272392315255388,0.0205484034219879
Centro 10,16,12746.11,695361.5377474909,7.940919744996236e-05,17188886.809999995,0.10708802188591994,836582235.4357263,0.018330191286232086,0.0205465596589525
Centro 10,19,15065.61,1675001.670781798,9.385985207989946e-05,17203952.419999994,0.10718188173799983,838257237.1065081,0.008994385058116514,0.020523476157968533
Centro 11,0,217079.82,1680657.1054840046,0.0013524231541060202,17709831.03999999,0.11033354253657245,1334665918.0351033,0.1291636582451387,0.013269111618638188
Centro 11,2,60253.64,517895.70284451335,0.0003753845836760352,17770084.679999992,0.11070892712024848,1335183813.737948,0.11634319356013234,0.013309092349053647
Centro 11,3,188685.94,2177459.961815887,0.0011755272052015673,17958770.619999994,0.11188445432545005,1337361273.6997638,0.08665414901252459,0.013428511033759543
Centro 11,4,185035.97,2714303.2162922947,0.0011527876251715473,18143806.589999992,0.11303724195062159,1340075576.9160562,0.06817070727004365,0.013539390540759434
Centro 11,5,57452.740000000005,688559.313410175,0.0003579347718402987,18201259.32999999,0.11339517672246188,1340764136.2294664,0.08343905729116961,0.013575288030291495
Centro 11,7,665645.34,11780726.322993238,0.004147019148250511,18866904.66999999,0.1175421958707124,1352544862.5524597,0.05650291176876039,0.013949189555454187
Centro 11,8,122910.98999999999,1990310.7901293086,0.0007657444564404627,18989815.65999999,0.11830794032715285,1354535173.3425891,0.061754671988697094,0.014019433406914627
Centro 11,9,28028.9,771710.7916289154,0.0001746220968126942,19017844.559999987,0.11848256242396553,1355306884.134218,0.03632047174154067,0.014032131602540155
Centro 11,11,153347.75,3622968.3908282816,0.0009553676971450477,19171192.309999987,0.11943793012111058,1358929852.5250463,0.042326549242937696,0.014107565798468353
Centro 11,13,345639.75,8276057.221365481,0.002153360919865404,19516832.059999987,0.12159129104097598,1367205909.7464118,0.04176381829595087,0.014274976373983018
Centro 11,14,139817.8,4655491.323630546,0.0008710751191712095,19656649.85999999,0.1224623661601472,1371861401.0700424,0.03003287736576947,0.014328451726003763
Centro 11,15,4967.49,178275.5597447307,3.0947825983042156e-05,19661617.349999987,0.12249331398613023,1372039676.6297872,0.02786411108237636,0.014330210477801811
Centro 11,16,78608.59,4219367.50687546,0.0004897372645123206,19740225.939999986,0.12298305125064254,1376259044.1366627,0.01863042028737892,0.014343394162676092
Centro 11,17,143259.2,3678398.4564189813,0.0008925152928480648,19883485.139999986,0.1238755665434906,1379937442.5930817,0.03894607984896412,0.014408975745042713
Centro 11,18,22682.99,758659.0293330431,0.0001413166865549977,19906168.129999984,0.1240168832300456,1380696101.6224148,0.02989879395483002,0.014417487024558728
