CP,Market Size,Latitude,Longitude
3699,1344395,38.367761,-0.592003
3700,11354856,38.846654,0.088695
3709,639523,38.829026,0.063583
3710,6569950,38.647733,0.041988
3720,3042990,38.714549,0.052492
3723,2429,38.7715,-0.007578
3724,1863395,38.718095,0.145386
3725,1379693,38.716187,0.111079
3726,1176376,38.718095,0.145386
3727,744242,38.740654,-0.011014
3728,357007,38.752518,-0.041988
3729,414703,38.731582,0.004663
3730,4655491,38.79626,0.180256
3737,324343,38.775867,0.125315
3738,2217561,38.771468,0.186285
3739,880457,38.74424,0.157399
3740,1540589,38.774555,0.080225
3749,74753,38.798948,0.085256
3750,2074780,38.787742,0.043574
3759,304529,38.345996,-0.490686
3760,1680657,38.824466,0.019822
3769,384030,38.838841,-0.034987
3770,1091832,38.846688,-0.004663
3778,517895,38.821853,-0.003497
3779,1085627,38.871901,-0.024453
3780,2756680,38.84635,-0.045533
3786,190303,38.857014,-0.172911
3788,188957,38.788889,-0.252616
3789,49411,38.805386,-0.159396
3790,374967,38.780641,-0.063583
3791,185241,38.783247,-0.079933
3792,356702,38.760676,-0.081977
3793,100063,38.725529,-0.194579
3794,128863,38.754928,-0.108799
3795,425870,38.783162,-0.054255
3801,3651302,38.691329,-0.476189
3802,4485347,38.692586,-0.489172
3803,3668829,38.701789,-0.48091
3804,4206092,38.712323,-0.46675
3810,180238,38.700167,-0.388374
3811,85949,38.720689,-0.313678
3812,116865,38.741584,-0.332486
3813,53905,38.734876,-0.268166
3814,75790,38.668267,-0.323081
3815,80538,38.679706,-0.359539
3816,29728,38.657519,-0.407806
3819,11902,38.6833,-0.516331
3820,3061661,38.759902,-0.434025
3827,154779,38.760826,-0.353949
3828,168592,38.771994,-0.338071
3829,126545,38.773343,-0.426069
3830,2248125,38.780493,-0.438446
3837,145639,38.780833,-0.515741
3838,102943,38.787761,-0.573071
3839,247525,38.345996,-0.490686
3840,133418,38.81264,-0.409573
3841,60797,38.795334,-0.403388
3850,261253,38.820587,-0.378955
3860,138824,38.844316,-0.31074
4001,1680500,36.837922,-2.464742
4002,3374133,36.846961,-2.514842
4003,2462806,36.843986,-2.464124
4004,3664431,36.836654,-2.461033
4005,4282522,36.841449,-2.456706
4006,5297138,36.841653,-2.446818
4007,10736103,36.827087,-2.435696
4008,5433276,36.868679,-2.504941
4009,10279715,36.861693,-2.452998
4100,621443,36.955947,-2.164672
4110,2050804,36.937721,-2.132749
4113,526027,36.880143,-2.159145
4114,294566,37.026342,-2.079994
4115,434447,36.845894,-2.042628
4116,86527,36.84986,-2.123545
4117,2015039,36.844024,-2.203275
4118,792565,36.76198,-2.109435
4120,3371757,36.854483,-2.410991
4130,1250346,36.860945,-2.356686
4131,2758705,36.819444,-2.277813
4140,1721349,37.014804,-1.911567
4149,266216,36.998455,-1.978061
4150,402219,36.774578,-2.231046
4151,57575,36.772569,-2.19416
4160,32400,36.910004,-2.322162
4200,838456,37.038089,-2.36162
4210,84073,37.040793,-2.201005
4211,50915,37.031279,-2.154847
4212,130911,37.185077,-2.439851
4213,66402,37.191171,-2.313878
4230,4617068,36.888182,-2.444552
4240,1383575,36.867775,-2.421593
4250,898803,36.918988,-2.410991
4260,287736,36.961558,-2.430754
4270,342569,37.16064,-2.115569
4271,333185,37.222636,-1.984024
4275,79728,37.239366,-2.290436
4276,112047,37.235145,-2.266424
4279,184464,37.087298,-2.176349
4280,712055,37.1689,-1.940152
4288,239047,37.184095,-1.997941
4289,122208,37.125584,-2.008008
4400,831967,36.957336,-2.568095
4409,160711,36.949897,-2.601564
4410,1096249,36.926657,-2.461302
4420,86847,36.834047,-2.463714
4430,96702,36.950766,-2.683478
4431,80578,36.973131,-2.643744
4440,73860,36.998968,-2.688447
4450,244094,36.850395,-2.459167
4458,165906,37.003002,-2.790119
4459,120003,37.038585,-2.745008
4460,130983,36.980955,-2.857087
4470,338539,36.993727,-2.896751
4479,208393,37.030203,-2.995371
4480,116747,36.9494,-2.967557
4500,418600,37.170947,-2.841505
4510,286978,37.168665,-2.768025
4520,226693,37.133873,-2.796033
4530,117810,37.134766,-2.712578
4531,132288,37.042777,-2.648709
4533,19048,37.194846,-2.79292
4540,68165,37.107108,-2.648709
4549,51642,37.160842,-2.626061
4550,226915,37.204594,-2.599084
4560,630954,36.952911,-2.49195
4567,122337,37.002022,-2.549511
4568,76475,37.017373,-2.584206
4569,145402,36.943323,-2.656157
4600,4104472,37.421146,-1.879056
4610,1604152,37.292709,-1.900155
4616,138697,37.249602,-1.770295
4617,472343,37.239492,-1.7995
4618,475560,37.273145,-1.811451
4619,441842,37.312794,-1.871249
4620,3475135,37.229139,-1.861101
4621,975950,37.224466,-1.817207
4628,535075,37.228207,-1.919695
4629,254033,37.251368,-1.934966
4630,2172796,37.192199,-1.826957
4638,2062737,37.071717,-1.863218
4639,826841,36.834047,-2.463714
4640,1234410,37.421665,-1.730919
4647,795492,37.371328,-1.761488
4648,413658,37.320403,-1.702093
4649,20486,37.399178,-1.751448
4650,195000,37.388036,-1.992435
4660,975511,37.343033,-2.086133
4661,505511,37.412972,-2.063052
4662,7159,37.354915,-1.997023
4690,68771,37.496732,-1.86936
4691,27805,37.51369,-1.954827
4692,225123,37.388036,-1.992435
4693,450259,37.478671,-1.991318
4694,113202,37.401796,-1.927025
4700,10497098,36.786979,-2.79292
4710,1944156,36.773822,-2.725665
4711,2124986,36.70087,-2.825904
4712,1159319,36.731999,-2.886318
4713,624684,36.750508,-2.911354
4715,736288,36.701961,-2.843513
4716,1513402,36.760176,-2.754319
4717,432846,36.71328,-2.69393
4720,12525387,36.816162,-2.571812
4721,109920,36.811455,-2.602804
4727,265369,36.835942,-2.620788
4728,159780,36.86961,-2.708329
4729,117424,36.872256,-2.589165
4738,4829653,36.794954,-2.61352
4740,13362040,36.732014,-2.631673
4741,332974,36.758517,-2.654295
4743,53910,36.735093,-2.657603
4745,1445940,36.753182,-2.682236
4746,363227,36.800028,-2.693417
4750,886484,36.831563,-2.869557
4760,2019947,36.845183,-2.945068
4768,46169,36.919788,-3.028528
4769,571324,36.837989,-2.936949
4770,4444710,36.796377,-3.067637
4778,235020,36.749774,-3.094323
4779,512252,36.778251,-3.001449
4800,2698977,37.388102,-2.14175
4810,542182,37.484629,-2.293823
4811,80143,37.541547,-2.329866
4812,16557,37.423975,-2.16376
4813,102111,37.517657,-2.162753
4814,108111,37.417614,-2.095943
4815,165486,36.834047,-2.463714
4820,1447956,37.674156,-2.057482
4825,381744,37.566893,-2.327401
4827,23356,37.541799,-2.016453
4828,19854,37.588185,-2.095943
4829,84823,37.653069,-2.037116
4830,427549,37.69127,-2.09533
4838,282226,36.834047,-2.463714
4839,23337,37.828296,-2.251808
4850,593038,37.292525,-2.118483
4857,180858,37.286193,-2.182178
4859,163410,37.261151,-2.210469
4860,1525461,37.368257,-2.306186
4867,1292774,36.834047,-2.463714
4868,38089,37.311646,-2.336955
4869,474233,36.834047,-2.463714
4870,363754,37.348753,-2.351753
4877,101794,37.406794,-2.386299
4878,138564,37.321759,-2.39926
4879,72030,37.383806,-2.320153
4880,847379,37.348942,-2.478608
4887,187562,37.376439,-2.448856
4888,129427,37.349241,-2.410682
4889,42363,37.260773,-2.453461
4890,256709,37.35117,-2.495043
4897,26663,37.335952,-2.597534
4898,115515,37.395448,-2.593194
4899,189313,37.387388,-2.549511
5001,2651486,40.65727,-4.698012
5002,3079487,40.610462,-4.696719
5003,4835144,40.626711,-4.670871
5004,2147251,40.657936,-4.650201
5005,2250126,40.697183,-4.681209
5100,402871,40.409617,-4.704476
5110,339278,40.47253,-4.5934
5111,76306,40.478512,-4.681855
5113,231683,40.412634,-4.785989
5114,52996,40.397313,-4.836055
5115,103988,40.35898,-4.883185
5120,121214,40.459126,-4.767864
5122,47103,40.425521,-4.910755
5123,117936,40.398904,-4.976004
5130,150693,40.553092,-4.933146
5131,32373,40.529757,-4.967235
5132,53587,40.45801,-5.04881
5133,33528,40.427692,-5.17449
5134,65921,40.450201,-5.103801
5140,99743,40.724347,-4.865677
5141,54072,40.716313,-4.950675
5143,14030,40.67871,-5.006034
5145,43196,40.675103,-5.051506
5146,128986,40.801948,-5.087852
5147,19076,40.704722,-5.106259
5148,45335,40.713777,-5.209705
5149,48061,40.704421,-4.977304
5150,29239,40.655713,-5.276933
5151,48100,40.663495,-5.341626
5153,54319,40.586752,-5.372363
5154,54627,40.533271,-5.405081
5160,6504,40.709195,-4.758804
5162,59016,40.799166,-4.762183
5163,51697,40.82563,-4.738748
5164,89904,40.857208,-4.722579
5165,194092,40.91555,-4.729693
5166,34340,40.886205,-4.753628
5190,40932,40.547078,-4.758804
5191,55472,40.553936,-4.822903
5192,113323,40.646262,-4.765923
5193,74291,40.705952,-4.516362
5194,160892,40.695644,-4.5934
5195,39470,40.658388,-4.510886
5196,140053,40.613789,-4.614048
5197,177996,40.607925,-4.758804
5198,51383,40.892679,-5.075485
5200,1801758,41.058981,-4.718742
5210,83317,41.064456,-5.089804
5211,68041,40.975809,-4.944831
5212,116169,41.049114,-4.817721
5213,83961,41.007623,-4.862436
5214,27891,40.924208,-4.640515
5215,102990,41.088888,-4.805738
5216,132629,41.003691,-4.806281
5217,90619,40.941174,-4.841046
5220,254824,41.090099,-4.998003
5229,92634,41.065717,-4.930549
5230,930912,40.601828,-4.333395
5239,150458,40.581216,-4.375785
5240,149525,40.596519,-4.411751
5250,410479,40.500789,-4.422067
5260,593179,40.461019,-4.464294
5267,105407,40.542554,-4.539881
5268,22378,40.564697,-4.559295
5270,606102,40.413083,-4.499315
5278,181661,40.656685,-4.681209
5279,46087,40.382381,-4.460666
5280,70578,40.753031,-4.67604
5289,18799,40.746564,-4.624698
5290,162356,40.875904,-4.634704
5291,99206,40.808816,-4.512174
5292,118535,40.816209,-4.616151
5294,62893,40.599664,-4.49398
5296,83866,40.943899,-4.605014
5298,61321,41.00576,-5.023447
5299,11782,41.123504,-4.989877
5300,70137,40.86123,-4.987049
5301,16749,40.920248,-5.035802
5309,93135,40.886872,-4.933146
5310,151067,40.928985,-4.964962
5320,96434,40.731124,-4.717406
5350,95240,40.776174,-4.878539
5357,92253,40.781476,-4.836833
5358,131875,40.840423,-4.88146
5369,28402,40.85729,-5.063122
5370,56102,40.965833,-5.080366
5380,29175,40.87502,-5.132783
5400,1241827,40.210266,-5.083295
